Model,EngineDisplacement,Cylinders,Trans,Drive,Fuel,VehClass,AirPollutionScore,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,CombCO2
DODGE Charger,3.6,6,Auto-8,2WD,Gasoline,large car,5,19,30,23,5,No,389
DODGE Charger,3.6,6,Auto-8,4WD,Gasoline,large car,5,18,27,21,4,No,415
DODGE Charger,5.7,8,Auto-8,2WD,Gasoline,large car,3,16,25,19,4,No,466
DODGE Charger,6.4,8,Auto-8,2WD,Gasoline,large car,1,15,24,18,4,No,495
DODGE Durango,3.6,6,Auto-8,2WD,Gasoline,standard SUV,7,19,26,21,4,No,416
DODGE Durango,3.6,6,Auto-8,4WD,Gasoline,standard SUV,7,18,25,21,4,No,430
DODGE Durango,5.7,8,Auto-8,2WD,Gasoline,standard SUV,5,14,22,17,3,No,525
DODGE Durango,5.7,8,Auto-8,4WD,Gasoline,standard SUV,5,14,22,17,3,No,533
DODGE Hornet,2,4,Auto-9,4WD,Gasoline,small SUV,7,21,29,24,5,No,371
FERRARI 812 Competizione,6.5,12,AutoMan-7,2WD,Gasoline,small car,3,12,16,14,2,No,652
FERRARI 812 GTS,6.5,12,AutoMan-7,2WD,Gasoline,small car,3,12,15,13,1,No,665
FERRARI Daytona SP3,6.5,12,AutoMan-7,2WD,Gasoline,small car,3,12,16,13,1,No,660
FERRARI F175 AHA,6.5,12,AutoMan-8,4WD,Gasoline,small car,6,11,15,12,1,No,711
FERRARI F8 Spider,3.9,8,AutoMan-7,2WD,Gasoline,small car,3,15,18,16,3,No,552
FERRARI F8 Tributo,3.9,8,AutoMan-7,2WD,Gasoline,small car,3,15,19,16,3,No,541
FERRARI Portofino M,3.9,8,AutoMan-8,2WD,Gasoline,small car,6,16,23,19,4,No,471
FERRARI Roma,3.9,8,AutoMan-8,2WD,Gasoline,small car,6,17,22,19,4,No,472
FIAT 500X,1.3,4,Auto-9,4WD,Gasoline,small SUV,6,24,30,26,5,No,356
FORD Bronco,2.3,4,Man-7,4WD,Gasoline,small SUV,5,20,21,20,4,No,440
FORD Bronco,2.3,4,SemiAuto-10,4WD,Gasoline,small SUV,5,20,21,20,4,No,439
FORD Bronco,2.7,6,SemiAuto-10,4WD,Gasoline,small SUV,6,19,21,20,4,No,454
FORD Edge,2,4,Auto-8,4WD,Gasoline,small SUV,6,21,28,23,5,No,380
FORD Edge,2.7,6,SemiAuto-8,4WD,Gasoline,small SUV,5,19,25,21,4,No,421
FORD Escape,1.5,3,Auto-8,2WD,Gasoline,small SUV,7,27,34,30,6,No,299
FORD Escape,1.5,3,Auto-8,4WD,Gasoline,small SUV,7,26,32,28,6,No,317
FORD Escape,2,4,Auto-8,4WD,Gasoline,small SUV,7,23,31,26,5,No,340
FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,standard SUV,6,16,23,19,4,No,468
FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,standard SUV,6,17,23,19,4,No,462
FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,standard SUV,6,16,21,18,4,No,494
FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,standard SUV,6,16,22,18,4,No,484
FORD Explorer,2.3,4,Auto-10,2WD,Gasoline,standard SUV,6,20,28,23,5,No,385
FORD Explorer,2.3,4,Auto-10,2WD,Gasoline,standard SUV,6,21,28,24,5,No,370
FORD Explorer,2.3,4,Auto-10,4WD,Gasoline,standard SUV,6,20,26,22,5,No,404
FORD Explorer,2.3,4,Auto-10,4WD,Gasoline,standard SUV,6,20,27,23,5,No,387
FORD Explorer,3,6,Auto-10,2WD,Gasoline,standard SUV,5,18,26,21,4,No,428
FORD Explorer,3,6,Auto-10,4WD,Gasoline,standard SUV,5,17,24,20,4,No,451
FORD Explorer,3,6,Auto-10,4WD,Gasoline,standard SUV,5,18,24,20,4,No,444
FORD Explorer,3,6,SemiAuto-10,2WD,Gasoline,standard SUV,5,18,25,20,4,No,438
FORD Explorer,3,6,SemiAuto-10,4WD,Gasoline,standard SUV,5,17,24,20,4,No,454
FORD Explorer,3,6,SemiAuto-10,4WD,Gasoline,standard SUV,5,18,24,20,4,No,445
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,6,18,25,21,4,No,431
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,6,20,26,22,5,No,405
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,6,17,23,20,4,No,451
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,6,18,24,20,4,No,435
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,6,18,24,21,4,No,432
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,6,17,23,19,4,No,470
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,6,18,23,20,4,No,451
FORD Maverick,2,4,Auto-8,2WD,Gasoline,pickup,6,23,30,25,5,No,355
FORD Maverick,2,4,Auto-8,4WD,Gasoline,pickup,6,22,28,24,5,No,370
FORD Mustang,2.3,4,Auto-10,2WD,Gasoline,small car,5,22,32,25,5,No,350
FORD Mustang,2.3,4,Man-6,2WD,Gasoline,small car,5,21,29,24,5,No,371
FORD Mustang,2.3,4,SemiAuto-10,2WD,Gasoline,small car,5,21,31,24,5,No,363
FORD Mustang,5,8,Man-6,2WD,Gasoline,small car,3,15,24,18,4,No,498
FORD Mustang,5,8,SemiAuto-10,2WD,Gasoline,small car,3,15,24,19,4,No,480
FORD Ranger,2.3,4,SemiAuto-10,2WD,Gasoline,pickup,6,20,26,22,5,No,397
FORD Ranger,2.3,4,SemiAuto-10,2WD,Gasoline,pickup,6,21,26,23,5,No,387
FORD Ranger,2.3,4,SemiAuto-10,4WD,Gasoline,pickup,6,19,24,21,4,No,420
FORD Ranger,2.3,4,SemiAuto-10,4WD,Gasoline,pickup,6,20,24,22,5,No,410
GENESIS G70,2,4,SemiAuto-8,2WD,Gasoline,small car,3,21,31,25,5,No,361
GENESIS G70,2,4,SemiAuto-8,4WD,Gasoline,small car,3,20,28,23,5,No,393
GENESIS G70,3.3,6,SemiAuto-8,2WD,Gasoline,small car,3,18,27,21,4,No,433
GENESIS G70,3.3,6,SemiAuto-8,4WD,Gasoline,small car,3,17,26,20,4,No,439
GENESIS G80,2.5,4,SemiAuto-8,2WD,Gasoline,large car,5,22,32,26,5,No,346
GENESIS G80,2.5,4,SemiAuto-8,4WD,Gasoline,large car,5,22,30,25,5,No,361
GENESIS G80,3.5,6,SemiAuto-8,4WD,Gasoline,large car,5,16,25,19,4,No,465
GENESIS G90,3.5,6,SemiAuto-8,4WD,Gasoline,large car,5,18,26,21,4,No,426
GENESIS GV70,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,5,19,26,22,5,No,408
GENESIS GV70,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,5,22,28,24,5,No,368
GENESIS GV70,3.5,6,SemiAuto-8,4WD,Gasoline,small SUV,5,19,24,21,4,No,431
GENESIS GV80,2.5,4,SemiAuto-8,4WD,Gasoline,standard SUV,5,20,24,22,5,No,404
GENESIS GV80,3.5,6,SemiAuto-8,4WD,Gasoline,standard SUV,5,18,23,20,4,No,448
GMC Acadia,2,4,Auto-9,2WD,Gasoline,standard SUV,7,22,29,25,5,No,365
GMC Acadia,2,4,Auto-9,4WD,Gasoline,standard SUV,7,22,27,24,5,No,368
GMC Acadia,3.6,6,Auto-9,2WD,Gasoline,standard SUV,6,19,27,22,5,No,404
GMC Acadia,3.6,6,Auto-9,4WD,Gasoline,standard SUV,6,19,26,21,4,No,417
